0 0 figs 図 -0.13918579447
0 1 . <epsilon> -0.338759348609
1 2 <epsilon> する 0
2 0 <epsilon> 。 0
0 0 . 。 -0.487278185766
0 4 . <epsilon> -0.553080414912
4 5 <epsilon> る 0
5 0 <epsilon> 。 0
0 7 . <epsilon> -0.367454390495
7 8 <epsilon> い 0
8 0 <epsilon> 。 0
0 10 . <epsilon> -0.467101119293
10 11 <epsilon> い 0
11 12 <epsilon> る 0
12 0 <epsilon> 。 0
0 14 . <epsilon> 0.0364186155697
14 15 <epsilon> い 0
15 16 <epsilon> く 0
16 0 <epsilon> 。 0
0 18 . <epsilon> 0.0153188286303
18 19 <epsilon> い 0
19 20 <epsilon> た 0
20 0 <epsilon> 。 0
0 22 . <epsilon> -0.421096148652
22 23 <epsilon> あ 0
23 24 <epsilon> る 0
24 0 <epsilon> 。 0
0 26 . <epsilon> -0.0285677622536
26 27 <epsilon> でき 0
27 28 <epsilon> る 0
28 0 <epsilon> 。 0
0 30 . <epsilon> -0.0290408288194
30 31 <epsilon> う 0
31 0 <epsilon> 。 0
0 0 21 を 0.433074662982
0 0 21 １４ 0.438418827095
0 0 21 １８ 0.315630260787
0 0 21 ２１ -0.661974180059
0 33 21 <epsilon> 0.0528023573096
33 34 <epsilon> ２１ 0
34 0 <epsilon> 上 0
0 36 21 <epsilon> 0.0593196765802
36 37 <epsilon> 本体 0
37 0 <epsilon> ２１ 0
0 0 21 21 -0.0453799541604
0 0 to に -0.4889073853
0 0 to する -0.150685870823
0 0 to と 0.0629293102309
0 0 to れ 0.0551799750191
0 0 to を -0.294740349992
0 0 to へ -0.141508037339
0 39 to <epsilon> 0.0123942988809
39 40 <epsilon> へ 0
40 0 <epsilon> と 0
0 0 to が 0.147632546595
0 0 to し -0.1823360919
0 0 to 〜 -0.277483150776
0 0 to 対 0.0361613856291
0 0 to から 0.0182386953876
0 0 to 乃至 0.0299992371243
0 0 to ｂ〜 0.190966545674
0 42 32 <epsilon> 0.274341011718
42 43 <epsilon> ３ 0
43 0 <epsilon> ２ 0
0 0 32 ３２ -0.664034321517
0 0 32 32 -0.1576908584
0 45 each <epsilon> 0.18701063897
45 46 <epsilon> また 0
46 0 <epsilon> 、 0
0 0 each は 0.0897096364747
0 0 each 、 0.0104028245656
0 48 each <epsilon> 0.340435206247
48 49 <epsilon> そして 0
49 50 <epsilon> 、 0
50 0 <epsilon> この 0
0 0 each その 0.225854842664
0 52 each <epsilon> 0.102244867137
52 53 <epsilon> 尚 0
53 54 <epsilon> 、 0
54 0 <epsilon> 各 0
0 0 each この 0.154470485749
0 56 each <epsilon> 0.102927200057
56 57 <epsilon> これ 0
57 0 <epsilon> ら 0
0 59 each <epsilon> 0.0411495125802
59 60 <epsilon> これ 0
60 61 <epsilon> ら 0
61 0 <epsilon> 各 0
0 0 each 各 -0.493516426316
0 63 each <epsilon> 0.0223601781331
63 64 <epsilon> 各 0
64 0 <epsilon> 構成 0
0 0 each ら 0.0921946918762
0 0 each つ 0.159284426479
0 0 each それぞれ -0.275021095444
0 0 each 毎 -0.117998573884
0 0 each いずれ 0.0460381019548
0 0 each 共通 0.27863057279
0 0 each 各々 -0.217729503875
0 0 each 各種 0.218696183799
0 0 each 個々 0.0274727215669
0 0 each 単位 0.141464667145
0 0 show は -0.0881824152778
0 66 show <epsilon> -0.0264102506806
66 67 <epsilon> に 0
67 68 <epsilon> 示 0
68 0 <epsilon> す 0
0 70 show <epsilon> 0.254931285991
70 71 <epsilon> に 0
71 72 <epsilon> 表わ 0
72 0 <epsilon> し 0
0 0 show を -0.0349001845921
0 74 show <epsilon> -0.206325684046
74 75 <epsilon> を 0
75 76 <epsilon> 示 0
76 0 <epsilon> し 0
0 78 show <epsilon> -0.274860100284
78 79 <epsilon> を 0
79 80 <epsilon> 示 0
80 0 <epsilon> す 0
0 82 show <epsilon> 0.0653346879875
82 83 <epsilon> を 0
83 84 <epsilon> 示 0
84 85 <epsilon> す 0
85 0 <epsilon> 説明 0
0 87 show <epsilon> 0.0807629085728
87 88 <epsilon> を 0
88 89 <epsilon> それぞれ 0
89 90 <epsilon> 示 0
90 0 <epsilon> す 0
0 0 show し 0.0270643783205
0 92 show <epsilon> -0.0227177048196
92 93 <epsilon> で 0
93 94 <epsilon> 示 0
94 0 <epsilon> す 0
0 0 show 表示 0.263633065523
0 0 show 示 -0.161557819103
0 96 show <epsilon> 0.0680230483647
96 97 <epsilon> 示 0
97 98 <epsilon> し 0
98 0 <epsilon> た 0
0 100 show <epsilon> 0.141757523604
100 101 <epsilon> 示 0
101 102 <epsilon> し 0
102 103 <epsilon> た 0
103 0 <epsilon> もの 0
0 105 show <epsilon> -0.129810421496
105 106 <epsilon> 示 0
106 0 <epsilon> す 0
0 108 show <epsilon> 0.0337019973263
108 109 <epsilon> 示 0
109 110 <epsilon> す 0
110 0 <epsilon> もの 0
0 112 show <epsilon> 0.0792805841531
112 113 <epsilon> ） 0
113 114 <epsilon> に 0
114 0 <epsilon> 示 0
0 0 show 表 0.149649981433
0 116 semiconductor <epsilon> -0.609267623201
116 117 <epsilon> 半 0
117 0 <epsilon> 導体 0
0 0 semiconductor 導体 -0.469520861023
0 119 semiconductor <epsilon> 0.256068941956
119 120 <epsilon> 導体 0
120 121 <epsilon> 集積 0
121 0 <epsilon> 回路 0
0 0 semiconductor シリコン 0.350456040796
0 123 semiconductor <epsilon> 0.291417308224
123 124 <epsilon> ｓｅｍｉ 0
